Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Quantity_Inferred,Price Per Unit_Inferred,Total Spent_Inferred,Total_Spent_Valid
TXN_2919952,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-02-17,True,False,False,True
TXN_4265056,Juice,1.0,3.0,3.0,Cash,Unknown,2023-07-16,False,False,False,True
TXN_2463115,Sandwich,5.0,4.0,20.0,Credit Card,Takeaway,2023-09-12,False,False,False,True
TXN_7619641,Juice,3.0,3.0,9.0,Unknown,In-store,2023-04-02,False,False,False,True
TXN_9566593,Cake,2.0,3.0,6.0,Digital Wallet,Unknown,2023-09-30,False,False,False,True
TXN_4835929,Coffee,2.0,2.0,4.0,Unknown,In-store,2023-10-03,False,False,False,True
TXN_8320245,Tea,3.0,1.5,4.5,Unknown,Takeaway,2023-04-09,False,False,False,True
TXN_3575713,Unknown,1.0,1.5,1.5,Cash,Takeaway,2023-02-18,True,False,False,True
TXN_4383002,Coffee,1.0,2.0,2.0,Unknown,In-store,2023-12-18,False,False,False,True
TXN_3656762,Sandwich,2.0,4.0,8.0,Unknown,Takeaway,2023-07-31,False,False,False,True
TXN_1375992,Coffee,5.0,2.0,10.0,Credit Card,In-store,2023-03-23,False,False,False,True
TXN_2201857,Smoothie,1.0,4.0,4.0,Unknown,Takeaway,2023-02-19,True,False,False,True
TXN_2710603,Smoothie,5.0,4.0,20.0,Unknown,Takeaway,2023-02-02,False,False,False,True
TXN_4677415,Cake,2.0,3.0,6.0,Digital Wallet,Unknown,2023-12-12,False,False,False,True
TXN_3432433,Cookie,5.0,1.0,5.0,Cash,In-store,2023-02-19,False,False,False,True
TXN_1721910,Juice,4.0,3.0,12.0,Digital Wallet,Unknown,2023-03-21,False,False,False,True
TXN_3826038,Salad,1.0,5.0,5.0,Cash,Takeaway,2023-10-20,False,False,False,True
TXN_4428252,Sandwich,3.0,4.0,12.0,Unknown,Takeaway,2023-10-31,False,False,False,True
TXN_3202346,Salad,2.0,5.0,10.0,Unknown,In-store,2023-11-19,False,False,False,True
TXN_5750248,Salad,4.0,5.0,20.0,Digital Wallet,In-store,2023-07-20,False,False,False,True
TXN_9089045,Coffee,5.0,2.0,10.0,Cash,In-store,2023-03-12,True,False,False,True
TXN_7051359,Coffee,5.0,2.0,10.0,Unknown,Unknown,2023-10-30,False,False,False,True
TXN_5039782,Tea,3.0,1.5,4.5,Credit Card,Takeaway,2023-06-21,False,False,False,True
TXN_7764175,Salad,3.0,5.0,15.0,Cash,In-store,2023-09-02,False,False,False,True
TXN_8798330,Unknown,1.0,2.0,2.0,Unknown,In-store,2023-02-16,False,False,False,True
TXN_4365321,Salad,4.0,5.0,20.0,Cash,In-store,2023-03-09,False,False,False,True
TXN_5186460,Juice,3.0,3.0,9.0,Credit Card,Unknown,2023-11-07,False,False,False,True
TXN_4431264,Smoothie,2.0,4.0,8.0,Unknown,Unknown,2023-11-14,False,False,False,True
TXN_6660602,Unknown,4.0,5.0,20.0,Unknown,Takeaway,2023-05-20,False,False,False,True
TXN_8973007,Coffee,5.0,2.0,10.0,Unknown,Takeaway,2023-02-07,False,False,False,True
TXN_6795640,Cookie,4.0,1.0,4.0,Digital Wallet,Takeaway,2023-01-28,False,False,False,True
TXN_9202496,Cake,5.0,3.0,15.0,Credit Card,In-store,2023-07-19,False,False,False,True
TXN_1339158,Salad,4.0,5.0,20.0,Cash,Unknown,,False,False,False,True
TXN_6755795,Smoothie,5.0,4.0,20.0,Cash,Unknown,2023-02-22,False,False,False,True
TXN_8970187,Cake,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-03-13,False,False,False,True
TXN_4268167,Smoothie,4.0,4.0,16.0,Unknown,Unknown,2023-07-06,False,False,False,True
TXN_7313328,Juice,1.0,3.0,3.0,Unknown,Takeaway,2023-01-03,False,False,False,True
TXN_7803615,Salad,3.0,5.0,15.0,Cash,In-store,2023-12-13,False,False,False,True
TXN_4509329,Tea,1.0,1.5,1.5,Unknown,Takeaway,2023-10-22,False,False,False,True
TXN_8811945,Unknown,1.0,5.0,5.0,Unknown,Unknown,2023-02-18,False,False,False,True
TXN_6361856,Cookie,5.0,1.0,5.0,Unknown,Unknown,2023-05-11,False,False,False,True
TXN_9130559,Sandwich,1.0,4.0,4.0,Credit Card,Unknown,2023-05-28,False,False,False,True
TXN_5530180,Cookie,5.0,1.0,5.0,Unknown,In-store,2023-09-06,False,False,False,True
TXN_4657842,Unknown,5.0,1.0,5.0,Cash,Takeaway,2023-09-29,True,False,False,True
TXN_2354774,Coffee,5.0,2.0,10.0,Unknown,In-store,,False,False,False,True
TXN_6688524,Coffee,4.0,2.0,8.0,Unknown,Unknown,2023-06-29,False,False,False,True
TXN_7894558,Coffee,2.0,2.0,4.0,Unknown,Unknown,2023-01-04,False,False,False,True
TXN_5650608,Juice,1.0,3.0,3.0,Digital Wallet,Unknown,2023-06-25,True,False,False,True
TXN_8092496,Juice,4.0,3.0,12.0,Unknown,In-store,2023-03-11,False,False,False,True
TXN_3722720,Salad,2.0,5.0,10.0,Unknown,In-store,2023-06-27,False,False,False,True
TXN_7180164,Sandwich,5.0,4.0,20.0,Cash,Takeaway,2023-01-05,True,False,False,True
TXN_5315818,Salad,1.0,5.0,5.0,Digital Wallet,Unknown,2023-02-06,False,False,False,True
TXN_2010658,Smoothie,3.0,4.0,12.0,Unknown,Unknown,2023-02-20,False,False,False,True
TXN_4995281,Salad,4.0,5.0,20.0,Credit Card,Unknown,2023-02-25,False,False,False,True
TXN_6751134,Sandwich,3.0,4.0,12.0,Unknown,Unknown,2023-01-12,False,True,False,True
TXN_1103495,Juice,1.0,3.0,3.0,Cash,Takeaway,,False,False,False,True
TXN_5005592,Coffee,1.0,2.0,2.0,Credit Card,In-store,2023-06-05,False,False,False,True
TXN_6219977,Cookie,2.0,1.0,2.0,Credit Card,Unknown,2023-12-17,False,False,False,True
TXN_1336900,Coffee,5.0,2.0,10.0,Credit Card,Unknown,2023-01-16,False,False,False,True
TXN_9423451,Coffee,1.0,2.0,2.0,Unknown,Unknown,2023-10-22,False,True,False,True
TXN_1022523,Salad,4.0,5.0,20.0,Cash,In-store,2023-11-25,False,False,False,True
TXN_4958354,Sandwich,4.0,4.0,16.0,Credit Card,Takeaway,2023-05-01,False,True,False,True
TXN_5438422,Smoothie,3.0,4.0,12.0,Unknown,In-store,2023-09-25,False,False,True,True
TXN_9547091,Cookie,3.0,1.0,3.0,Credit Card,Unknown,2023-10-08,False,False,False,True
TXN_1180969,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-01-06,False,False,True,True
TXN_4389662,Smoothie,1.0,4.0,4.0,Cash,Takeaway,2023-08-09,False,False,False,True
TXN_4624436,Sandwich,1.0,4.0,4.0,Unknown,Unknown,2023-05-22,False,False,False,True
TXN_3507013,Juice,1.0,3.0,3.0,Digital Wallet,In-store,2023-01-16,False,True,False,True
TXN_2462604,Tea,5.0,1.5,7.5,Credit Card,Unknown,2023-07-13,False,False,False,True
TXN_7905741,Cookie,5.0,1.0,5.0,Credit Card,Unknown,2023-02-08,False,False,False,True
TXN_6682253,Tea,5.0,1.5,7.5,Cash,In-store,2023-02-17,False,False,False,True
